avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			6.85		","<a name=""1507""></a>",/boardgame/204574/flow-history,"
			6.248		","
			1800		",The Flow of History
"
			8.25		","<a name=""11""></a>",/boardgame/169786/scythe,"
			8.096		","
			50876		",Scythe
"
			7.06		","<a name=""1407""></a>",/boardgame/63543/horus-heresy-2010,"
			6.286		","
			1590		",Horus Heresy (2010)
"
			6.74		","<a name=""907""></a>",/boardgame/13823/fairy-tale,"
			6.547		","
			8303		",Fairy Tale
"
			6.63		","<a name=""1007""></a>",/boardgame/150312/welcome-dungeon,"
			6.482		","
			10864		",Welcome to the Dungeon
"
			6.42		","<a name=""1607""></a>",/boardgame/34585/keltis,"
			6.214		","
			5417		",Keltis
"
			7.17		","<a name=""1107""></a>",/boardgame/152/mu-more,"
			6.425		","
			1805		",Mü & More
"
			6.91		","<a name=""1207""></a>",/boardgame/24773/underground,"
			6.375		","
			2347		",On the Underground
"
			7.56		","<a name=""210""></a>",/boardgame/66589/navegador,"
			7.233		","
			7748		",Navegador
"
			7.59		","<a name=""109""></a>",/boardgame/148949/istanbul,"
			7.443		","
			23237		",Istanbul
"
			7.56		","<a name=""710""></a>",/boardgame/204516/878-vikings-invasions-england,"
			6.687		","
			2114		",878 Vikings: Invasions of England
"
			7.29		","<a name=""410""></a>",/boardgame/232043/queendomino,"
			6.960		","
			6879		",Queendomino
"
			7.98		","<a name=""610""></a>",/boardgame/132028/conflict-heroes-awakening-bear-operation-barbaross,"
			6.776		","
			1665		",Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition)
"
			7.58		","<a name=""310""></a>",/boardgame/195539/godfather-corleones-empire,"
			7.072		","
			5111		",The Godfather: Corleone's Empire
"
			8.08		","<a name=""509""></a>",/boardgame/198953/pax-renaissance,"
			6.862		","
			1716		",Pax Renaissance
"
			6.52		","<a name=""2401""></a>",/boardgame/2238/panzerblitz,"
			5.983		","
			1625		",PanzerBlitz
"
			7.07		","<a name=""1308""></a>",/boardgame/205046/capital-lux,"
			6.329		","
			1654		",Capital Lux
"
			6.81		","<a name=""2302""></a>",/boardgame/1758/advanced-heroquest,"
			6.006		","
			1184		",Advanced Heroquest
"
			6.89		","<a name=""2005""></a>",/boardgame/153623/limes,"
			6.079		","
			1024		",Limes
"
			7.16		","<a name=""2203""></a>",/boardgame/174524/saloon-tycoon,"
			6.029		","
			744		",Saloon Tycoon
"
			6.87		","<a name=""1706""></a>",/boardgame/1563/rise-and-decline-third-reich,"
			6.178		","
			1797		",Rise and Decline of the Third Reich
"
			6.62		","<a name=""2104""></a>",/boardgame/30241/patrician,"
			6.053		","
			1433		",Patrician
"
			7.21		","<a name=""809""></a>",/boardgame/251678/railroad-ink-blazing-red-edition,"
			6.615		","
			2856		",Railroad Ink: Blazing Red Edition
"
			7.46		","<a name=""1906""></a>",/boardgame/283864/trails-tucana,"
			6.113		","
			648		",Trails of Tucana
"
			6.59		","<a name=""1508""></a>",/boardgame/176558/mafia-de-cuba,"
			6.248		","
			3360		",Mafia de Cuba
"
			8.46		","<a name=""12""></a>",/boardgame/115746/war-ring-second-edition,"
			8.075		","
			12072		",War of the Ring: Second Edition
"
			7.19		","<a name=""1408""></a>",/boardgame/271869/sushi-roll,"
			6.285		","
			1268		",Sushi Roll
"
			7.10		","<a name=""908""></a>",/boardgame/527/gipf,"
			6.547		","
			2830		",GIPF
"
			7.17		","<a name=""1008""></a>",/boardgame/166226/staufer-dynasty,"
			6.482		","
			2013		",The Staufer Dynasty
"
			6.44		","<a name=""1608""></a>",/boardgame/155695/age-war,"
			6.213		","
			5980		",Age of War
"
			6.98		","<a name=""1108""></a>",/boardgame/13884/scepter-zavandor,"
			6.424		","
			2468		",The Scepter of Zavandor
"
			6.85		","<a name=""1208""></a>",/boardgame/6351/gulo-gulo,"
			6.374		","
			2725		",Gulo Gulo
"
			7.36		","<a name=""211""></a>",/boardgame/204583/kingdomino,"
			7.231		","
			27212		",Kingdomino
"
			7.77		","<a name=""110""></a>",/boardgame/9609/war-ring,"
			7.439		","
			9738		",War of the Ring
"
			8.38		","<a name=""711""></a>",/boardgame/252328/star-wars-x-wing-second-edition,"
			6.687		","
			1220		",Star Wars: X-Wing (Second Edition)
"
			7.75		","<a name=""411""></a>",/boardgame/160010/conan,"
			6.959		","
			3719		",Conan
"
			7.30		","<a name=""611""></a>",/boardgame/528/zertz,"
			6.776		","
			3790		",ZÈRTZ
"
			7.43		","<a name=""311""></a>",/boardgame/96913/lancaster,"
			7.071		","
			6438		",Lancaster
"
			7.19		","<a name=""510""></a>",/boardgame/3201/lord-rings-confrontation,"
			6.861		","
			6402		",Lord of the Rings: The Confrontation
"
			7.14		","<a name=""2402""></a>",/boardgame/276830/sanctum,"
			5.983		","
			660		",Sanctum
"
			6.36		","<a name=""2501""></a>",/boardgame/25674/khronos,"
			5.964		","
			1727		",Khronos
"
			6.59		","<a name=""1801""></a>",/boardgame/4394/settlers-stone-age,"
			6.148		","
			2249		",The Settlers of the Stone Age
"
			7.46		","<a name=""1309""></a>",/boardgame/256606/spirits-wild,"
			6.328		","
			1122		",Spirits of the Wild
"
			6.50		","<a name=""2303""></a>",/boardgame/177249/manhattan-project-chain-reaction,"
			6.006		","
			1609		",The Manhattan Project: Chain Reaction
"
			6.99		","<a name=""2006""></a>",/boardgame/55952/greed-incorporated,"
			6.079		","
			879		",Greed Incorporated
"
			7.24		","<a name=""2204""></a>",/boardgame/759/turning-point-stalingrad,"
			6.029		","
			687		",Turning Point: Stalingrad
"
			6.38		","<a name=""1707""></a>",/boardgame/559/metro,"
			6.177		","
			5484		",Metro
"
			7.69		","<a name=""2105""></a>",/boardgame/233868/hate,"
			6.053		","
			798		",HATE
"
			6.94		","<a name=""810""></a>",/boardgame/217449/nmbr-9,"
			6.615		","
			5143		",NMBR 9
"
			7.74		","<a name=""1907""></a>",/boardgame/235014/sorcerer-city,"
			6.112		","
			594		",Sorcerer City
"
			7.45		","<a name=""1509""></a>",/boardgame/424/1870-railroading-across-trans-mississippi-1870,"
			6.248		","
			921		",1870: Railroading across the Trans Mississippi from 1870
"
			8.32		","<a name=""13""></a>",/boardgame/162886/spirit-island,"
			8.054		","
			19392		",Spirit Island
"
			6.52		","<a name=""1409""></a>",/boardgame/27627/talisman-revised-4th-edition,"
			6.285		","
			12499		",Talisman (Revised 4th Edition)
"
			7.10		","<a name=""909""></a>",/boardgame/57390/catacombs,"
			6.547		","
			2843		",Catacombs
"
			7.78		","<a name=""1009""></a>",/boardgame/232414/oceans,"
			6.482		","
			1227		",Oceans
"
			6.96		","<a name=""1609""></a>",/boardgame/3720/subbuteo,"
			6.213		","
			1550		",Subbuteo
"
			6.85		","<a name=""1109""></a>",/boardgame/24827/traders-osaka,"
			6.424		","
			3110		",Traders of Osaka
"
			6.55		","<a name=""1209""></a>",/boardgame/15818/pickomino,"
			6.374		","
			8542		",Pickomino
"
			7.77		","<a name=""212""></a>",/boardgame/146439/battlelore-second-edition,"
			7.231		","
